2021-07-06 16:07:77 INFO  NewAndUsedCarSearchPage :40 - Select value from make : [[ChromeDriver: chrome on WINDOWS (dac4c05b4159665077f276c59d35e502)] -> xpath: //select[@id='makes']]
2021-07-06 16:07:596 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-06 16:07:553 INFO  Homepage :22 - Mouse Hover on buy + sell tab : [[ChromeDriver: chrome on WINDOWS (c18de02513e727a59baa6c62ba63bd25)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-06 16:07:198 INFO  Homepage :28 - Clicking on search car menu : [[ChromeDriver: chrome on WINDOWS (c18de02513e727a59baa6c62ba63bd25)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-06 16:07:296 INFO  NewAndUsedCarSearchPage :33 - Mouse Hover on buy + sell tab : [[ChromeDriver: chrome on WINDOWS (c18de02513e727a59baa6c62ba63bd25)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-06 16:07:80 INFO  NewAndUsedCarSearchPage :40 - Select value from make : [[ChromeDriver: chrome on WINDOWS (c18de02513e727a59baa6c62ba63bd25)] -> xpath: //select[@id='makes']]
2021-07-06 16:07:857 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-06 16:07:708 INFO  Homepage :22 - Mouse Hover on buy + sell tab : [[ChromeDriver: chrome on WINDOWS (d08cfdd88a9e587418eab6829d33a406)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-06 16:07:985 INFO  Homepage :28 - Clicking on search car menu : [[ChromeDriver: chrome on WINDOWS (d08cfdd88a9e587418eab6829d33a406)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-06 16:07:44 INFO  NewAndUsedCarSearchPage :33 - Mouse Hover on buy + sell tab : [[ChromeDriver: chrome on WINDOWS (d08cfdd88a9e587418eab6829d33a406)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-06 16:07:637 INFO  NewAndUsedCarSearchPage :40 - Select value from make : [[ChromeDriver: chrome on WINDOWS (d08cfdd88a9e587418eab6829d33a406)] -> xpath: //select[@id='makes']]
2021-07-06 16:07:978 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-06 16:07:414 INFO  Homepage :22 - Mouse Hover on buy + sell tab : [[ChromeDriver: chrome on WINDOWS (fb1b5a3b1dd5ad65ab1b442f17239210)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-06 17:07:703 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-06 17:07:613 INFO  Homepage :22 - Mouse Hover on buy + sell tab : [[ChromeDriver: chrome on WINDOWS (eb5a04556f3641335b673d80cd49d5fa)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-06 17:07:703 INFO  Homepage :29 - Clicking on search car menu : [[ChromeDriver: chrome on WINDOWS (eb5a04556f3641335b673d80cd49d5fa)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-06 17:07:740 INFO  NewAndUsedCarSearchPage :33 - Mouse Hover on buy + sell tab : [[ChromeDriver: chrome on WINDOWS (eb5a04556f3641335b673d80cd49d5fa)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-06 17:07:406 INFO  NewAndUsedCarSearchPage :40 - Select value from make : [[ChromeDriver: chrome on WINDOWS (eb5a04556f3641335b673d80cd49d5fa)] -> xpath: //select[@id='makes']]
2021-07-06 17:07:156 INFO  NewAndUsedCarSearchPage :46 - Select value from model : [[ChromeDriver: chrome on WINDOWS (eb5a04556f3641335b673d80cd49d5fa)] -> xpath: //select[@id='models']]
2021-07-06 17:07:828 INFO  NewAndUsedCarSearchPage :52 - Select value from location : [[ChromeDriver: chrome on WINDOWS (eb5a04556f3641335b673d80cd49d5fa)] -> xpath: //select[@id='locations']]
2021-07-06 17:07:283 INFO  NewAndUsedCarSearchPage :58 - Select value from price : [[ChromeDriver: chrome on WINDOWS (eb5a04556f3641335b673d80cd49d5fa)] -> xpath: //select[@id='priceTo']]
2021-07-06 17:07:165 INFO  NewAndUsedCarSearchPage :64 - Click on Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-07-06 17:07:265 INFO  AllNewAndUsedPage :18 - getting text from [[ChromeDriver: chrome on WINDOWS (eb5a04556f3641335b673d80cd49d5fa)] -> xpath: //h1[@class = 'listing-search-title']]
2021-07-06 17:07:897 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-06 17:07:895 INFO  Homepage :22 - Mouse Hover on buy + sell tab : [[ChromeDriver: chrome on WINDOWS (135eae11fc99e3cd229eda1b14ba161e)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-06 17:07:165 INFO  Homepage :29 - Clicking on search car menu : [[ChromeDriver: chrome on WINDOWS (135eae11fc99e3cd229eda1b14ba161e)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-06 17:07:201 INFO  NewAndUsedCarSearchPage :33 - Mouse Hover on buy + sell tab : [[ChromeDriver: chrome on WINDOWS (135eae11fc99e3cd229eda1b14ba161e)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-06 17:07:714 INFO  NewAndUsedCarSearchPage :40 - Select value from make : [[ChromeDriver: chrome on WINDOWS (135eae11fc99e3cd229eda1b14ba161e)] -> xpath: //select[@id='makes']]
2021-07-06 17:07:523 INFO  NewAndUsedCarSearchPage :46 - Select value from model : [[ChromeDriver: chrome on WINDOWS (135eae11fc99e3cd229eda1b14ba161e)] -> xpath: //select[@id='models']]
2021-07-06 17:07:139 INFO  NewAndUsedCarSearchPage :52 - Select value from location : [[ChromeDriver: chrome on WINDOWS (135eae11fc99e3cd229eda1b14ba161e)] -> xpath: //select[@id='locations']]
2021-07-06 17:07:539 INFO  NewAndUsedCarSearchPage :58 - Select value from price : [[ChromeDriver: chrome on WINDOWS (135eae11fc99e3cd229eda1b14ba161e)] -> xpath: //select[@id='priceTo']]
